xNi,P/W,v/mm/s,t/um,h/um,Ev/J.mm-3,Es/J.mm-2,El/J.mm-1,RA,D/um,Oxygen/ppm,RelativeDensity/%,UTS/MPa,EL/%,SIM-SMR/MPa,Ms/K,Af/K,Hysteresis/K,type
50.8,100,125,30,120,222.2,26.7,0.8,90,100,500,,,,,278,295,17,1
50.8,100,175,30,120,158.7,19,0.6,90,100,500,,,,,262,286,24,1
50.8,100,225,30,120,123.4,14.8,0.4,90,100,500,,,,,252,279.8,27.8,1
50.8,100,500,30,120,55.5,6.7,0.2,90,100,500,,,,,250,276.5,26.5,1
50.8,250,875,30,120,79.4,9.5,0.3,90,100,500,,,,,287,314.7,27.7,1
50.8,250,1000,30,120,69.4,8.3,0.3,90,100,500,,,,,282,310.1,28.1,1
50.8,250,1250,30,120,55.5,6.7,0.2,90,100,500,,,,,280,308.6,28.6,1
50.8,250,1500,30,120,46.3,5.6,0.2,90,100,500,,,,,275,300.4,25.4,1
50.9,49,91,30,47,381.9,17.9,0.5,90,100,500,,,,,334.2,358.2,24,2
50.9,49,109,30,62,239.2,14.8,0.4,90,100,500,,,,,320.2,348.2,28,2
50.9,48,89,30,113,159.1,18,0.5,90,100,500,,,,,285.2,304.2,19,2
50.9,49,85,30,106,181.3,19.2,0.6,90,100,500,,,,,312.2,337.2,25,2
50.9,50,70,30,120,198.4,23.8,0.7,90,100,500,,,,,307.2,330.2,23,2
50.9,50,80,30,35,595.2,20.8,0.6,90,100,500,,,,,338.2,363.2,25,2
50.9,50,80,30,120,173.6,20.8,0.6,90,100,500,,,,,334.2,354.2,20,2
50.9,41,85,30,40,402,16.1,0.5,90,100,500,,,,,337.4,360.7,23.3,2
50.9,46,94,30,68,237.3,16.1,0.5,90,100,500,,,,,339.8,346.6,6.8,2
50.1,250,1250,30,120,55.5,6.7,0.2,90,100,500,,601,6.8,,,,,3
50.1,250,1250,30,120,55.5,6.7,0.2,45,100,500,,431,5.9,,,,,3
49.4,70,80,30,100,292,29.2,0.9,90,100,650,,632,5.8,147,336.5,371.4,34.9,4
49.4,70,105,30,100,222,22.2,0.7,90,100,650,,776,7.2,128,322.2,362.9,40.7,4
49.4,70,120,30,100,194,19.4,0.6,90,100,650,,714,7.1,117,323.6,357.7,34.1,4
49.4,70,150,30,100,155,15.6,0.5,90,100,650,,733,7.4,112,325.3,358.7,33.4,4
50.9,60,300,25,110,72.7,8,0.2,90,100,300,,329.9,6.6,139.2,302.6,329.7,27.1,5
50.9,60,320,25,110,68.2,7.5,0.2,90,100,300,,413.4,7.1,171.2,301.4,328.9,27.5,5
50.9,60,335,25,110,65.1,7.2,0.2,90,100,300,,346.6,6.4,191.5,299.9,325.8,25.9,5
50.9,60,360,25,110,60.6,6.7,0.2,90,100,300,,451.9,7,231.6,295.5,320.2,24.7,5
50.9,60,380,25,110,57.4,6.3,0.2,90,100,300,,435.7,6.1,251.4,297,321.8,24.8,5
50.9,60,410,25,110,53.2,5.9,0.1,90,100,300,,430.8,6.2,267.3,294.7,319.4,24.7,5
50.9,60,440,25,110,49.6,5.5,0.1,90,100,300,,536.5,6.9,287.5,291.7,317,25.3,5
50.9,60,480,25,110,45.5,5,0.1,90,100,300,,564.3,6.7,319.2,288.8,309.4,20.6,5
50.9,95,475,25,110,72.7,8,0.2,90,100,300,,396.5,7.1,215.2,289.2,316.5,27.3,5
50.9,95,500,25,110,69.1,7.6,0.2,90,100,300,,429.6,7.3,249.1,287.5,313.4,25.9,5
50.9,95,530,25,110,65.2,7.2,0.2,90,100,300,,424.8,7.1,273.9,286.7,310.2,23.5,5
50.9,95,570,25,110,60.6,6.7,0.2,90,100,300,,394.4,6.2,295.3,283.3,307.1,23.8,5
50.9,95,600,25,110,57.6,6.3,0.2,90,100,300,,380.5,4.7,308.6,284.8,308,23.2,5
50.9,95,650,25,110,53.1,5.8,0.1,90,100,300,,396.3,5.1,332.7,281.5,304,22.5,5
50.9,95,700,25,110,49.4,5.4,0.1,90,100,300,,402.9,5,360.1,280,300.5,20.5,5
